n,Sort,CPU Seconds
8,IR,0.0
8,MR,1.430511474609375E-6
8,IA,-4.76837158203125E-7
8,MA,4.76837158203125E-7
8,ID,-4.76837158203125E-7
8,MD,9.5367431640625E-7
16,IR,9.5367431640625E-7
16,MR,3.814697265625E-6
16,IA,0.0
16,MA,4.76837158203125E-6
16,ID,9.5367431640625E-7
16,MD,3.814697265625E-6
32,IR,3.814697265625E-6
32,MR,5.7220458984375E-6
32,IA,1.9073486328125E-6
32,MA,5.7220458984375E-6
32,ID,1.9073486328125E-6
32,MD,5.7220458984375E-6
64,IR,1.1444091796875E-5
64,MR,1.9073486328125E-5
64,IA,1.1444091796875E-5
64,MA,1.9073486328125027E-5
64,ID,1.1444091796874973E-5
64,MD,1.1444091796875E-5
128,IR,5.340576171875E-5
128,MR,3.814697265625E-5
128,IA,5.340576171875E-5
128,MA,2.288818359375E-5
128,ID,4.57763671875E-5
128,MD,3.0517578125E-5
256,IR,2.13623046875E-4
256,MR,4.577636718750022E-5
256,IA,2.1362304687499978E-4
256,MA,6.103515625E-5
256,ID,1.678466796875E-4
256,MD,6.103515625E-5
512,IR,7.9345703125E-4
512,MR,1.8310546875E-4
512,IA,8.85009765625E-4
512,MA,9.1552734375E-5
512,ID,6.103515625000009E-4
512,MD,1.220703125E-4
1024,IR,0.0036621093749999983
1024,MR,3.662109375E-4
1024,IA,0.00341796875
1024,MA,3.0517578125E-4
1024,ID,0.002685546875
1024,MD,3.0517578125E-4
2048,IR,0.0172119140625
2048,MR,8.544921875E-4
2048,IA,0.01904296875
2048,MA,6.103515625E-4
2048,ID,0.0113525390625
2048,MD,6.103515625E-4
