n,Sort,CPU Seconds
8,IA,-4.77E-07
16,IA,9.54E-07
32,IA,0
64,IA,1.53E-05
128,IA,4.58E-05
256,IA,1.98E-04
512,IA,0.00100708
1024,IA,0.003723145
2048,IA,0.020996094
8,ID,-4.77E-07
16,ID,9.54E-07
32,ID,0
64,ID,1.14E-05
128,ID,3.81E-05
256,ID,1.83E-04
512,ID,7.02E-04
1024,ID,0.003356934
2048,ID,0.012207031
8,IR,0
16,IR,9.54E-07
32,IR,0
64,IR,1.14E-05
128,IR,5.34E-05
256,IR,2.14E-04
512,IR,8.24E-04
1024,IR,0.003845215
2048,IR,0.018554688
8,MA,9.54E-07
16,MA,4.77E-06
32,MA,1.91E-06
64,MA,1.91E-05
128,MA,3.05E-05
256,MA,6.10E-05
512,MA,1.22E-04
1024,MA,3.05E-04
2048,MA,6.10E-04
8,MD,9.54E-07
16,MD,3.81E-06
32,MD,3.81E-06
64,MD,1.14E-05
128,MD,3.05E-05
256,MD,6.10E-05
512,MD,1.22E-04
1024,MD,4.27E-04
2048,MD,6.10E-04
8,MR,1.43E-06
16,MR,5.72E-06
32,MR,3.81E-06
64,MR,1.91E-05
128,MR,3.05E-05
256,MR,6.10E-05
512,MR,2.14E-04
1024,MR,4.88E-04
2048,MR,0.001098633
